,,Name,Username,Tweet ID (click to view url),Retweets,Comments,Favorites,Is Retweet?,Date,Tweet Text,text,Status URL,
30,,Pat Pugliese,GatorArcangelo,https://www.twitter.com/GatorArcangelo,1776426058553737356,0,0,0,,2024/4/6 1:45,@taylorswift13 Please tell your followers to vote,Twitter for iPhone,https://www.twitter.com/GatorArcangelo/status/1776426058553737356
31,,Brandnew20201,Brandnew20201,https://www.twitter.com/Brandnew20201,1776461720502030340,0,0,0,,2024/4/6 4:07,@taylorswift13 And caused a round trip air ticket between Singapore and Kuala Lumpur to spike to S$950 for economy!??,Twitter for Android,https://www.twitter.com/Brandnew20201/status/1776461720502030340
32,,JassBep,mildred145lp,https://www.twitter.com/mildred145lp,1776502318974009488,0,0,0,,2024/4/6 6:48,@taylorswift13 Best night ever ?????? #ErastourSG https://t.co/aoqRDgAqlI,Twitter for iPhone,https://www.twitter.com/mildred145lp/status/1776502318974009488
33,,Lara,Lara88274367,https://www.twitter.com/Lara88274367,1776568078190489844,0,0,0,,2024/4/6 11:10,@taylorswift13 ????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,Twitter for iPhone,https://www.twitter.com/Lara88274367/status/1776568078190489844
34,,Lory lvs Mile ? ??? ???,lorydglmtv,https://www.twitter.com/lorydglmtv,1776656682002592142,0,1,1,,2024/4/6 17:02,@hiperpesadaa @taylorswift13 FRAN JAJAJAJAJA,Twitter for iPhone,https://www.twitter.com/lorydglmtv/status/1776656682002592142
35,,fran,hiperpesadaa,https://www.twitter.com/hiperpesadaa,1776677825761689621,0,1,1,,2024/4/6 18:26,@lorydgmtv @taylorswift13 JAJAJAJAJAJAJAJAJA HABIA QJE INTENTAR,Twitter for Android,https://www.twitter.com/hiperpesadaa/status/1776677825761689621
36,,Lory lvs Mile ? ??? ???,lorydglmtv,https://www.twitter.com/lorydglmtv,1776679442854666597,0,0,1,,2024/4/6 18:32,@hiperpesadaa @taylorswift13 SI VI,Twitter for iPhone,https://www.twitter.com/lorydglmtv/status/1776679442854666597
37,,Jo-han Goh,goh3_johan,https://www.twitter.com/goh3_johan,1776688727944991074,0,0,0,,2024/4/6 19:09,@cljb54jhtn @3YearLetterman @taylorswift13 I think he's bitter that he missed those shows.,Twitter for Android,https://www.twitter.com/goh3_johan/status/1776688727944991074
38,,m ?? | eras sg n4! | you are what you love ??,cooljrriif,https://www.twitter.com/cooljrriif,1776801191248404541,0,0,0,,2024/4/7 2:36,@taylorswift13 so much love for you ??????,Twitter for iPhone,https://www.twitter.com/cooljrriif/status/1776801191248404541
39,,Random American,wylie5546,https://www.twitter.com/wylie5546,1776824333106606578,0,0,0,,2024/4/7 4:08,"@TheGr8Illusion @taylorswift13 When / if she announces that - her career is over. We love her, but we love our country more ??",Twitter for iPhone,https://www.twitter.com/wylie5546/status/1776824333106606578
40,,IrtizaFatima,irtizafatima21,https://www.twitter.com/irtizafatima21,1776865154367418402,0,0,1,,2024/4/7 6:50,@taylorswift13 Love it ????,Twitter for Android,https://www.twitter.com/irtizafatima21/status/1776865154367418402
41,,Jude,BigJudees,https://www.twitter.com/BigJudees,1776876061554532633,0,0,0,,2024/4/7 7:34,"@taylorswift13 I have liked you since I was 14 years old. It has been ten years since I finally met you in Singapore. I hope you can come to China ,Chinese fans love you Taylor ??",Twitter for iPhone,https://www.twitter.com/BigJudees/status/1776876061554532633
42,,k.,plagiarismzx,https://www.twitter.com/plagiarismzx,1776973886829240598,0,0,0,,2024/4/7 14:02,"@taylorswift13 Sana all eh, di ka gd mag concert di sa pinas ya",Twitter for Android,https://www.twitter.com/plagiarismzx/status/1776973886829240598
43,,Disapager,Disapager__,https://www.twitter.com/Disapager__,1777139368072733120,0,0,0,,2024/4/8 1:00,@FeetFinder @taylorswift13 https://t.co/OdMbN9G7lz,Twitter for Android,https://www.twitter.com/Disapager__/status/1777139368072733120
44,,Arthritis Buu,Bongwater1989,https://www.twitter.com/Bongwater1989,1777154389460799879,0,0,0,,2024/4/8 1:59,@FeetFinder @taylorswift13 hi spongebob,Twitter Web App,https://www.twitter.com/Bongwater1989/status/1777154389460799879
45,,羅鴻樟HongZhang Luo,Lowu1960,https://www.twitter.com/Lowu1960,1777248879307882504,0,0,0,,2024/4/8 8:15,@taylorswift13 so good,Twitter Web App,https://www.twitter.com/Lowu1960/status/1777248879307882504
46,,R.Hoque,iamrhoque_2,https://www.twitter.com/iamrhoque_2,1777412931585724883,0,0,0,,2024/4/8 19:07,@taylorswift13 Witch... https://t.co/tZ4riML0O1,Twitter Web App,https://www.twitter.com/iamrhoque_2/status/1777412931585724883
47,,jerjerito | BIP-420 ?? $FAME,jerjerito5,https://www.twitter.com/jerjerito5,1777639860121022708,0,0,0,,2024/4/9 10:09,@taylorswift13 $PARAM$MOJO$EVERY$TRIP$BEYOND$BUBBLE????????,Twitter for iPhone,https://www.twitter.com/jerjerito5/status/1777639860121022708
48,,kytobaby,babyboheo,https://www.twitter.com/babyboheo,1777683379435266290,0,0,0,,2024/4/9 13:02,@taylorswift13 it was amazing and those were great memorable shows,Twitter for iPhone,https://www.twitter.com/babyboheo/status/1777683379435266290
49,,Shahrokh77,Shahrokh_Mor,https://www.twitter.com/Shahrokh_Mor,1777808760594993186,0,0,0,,2024/4/9 21:20,@taylorswift13 ??????$Cookie@Cookie3_com,Twitter for Android,https://www.twitter.com/Shahrokh_Mor/status/1777808760594993186
50,,Prabal Pratap Singh,prabalpratapsi4,https://www.twitter.com/prabalpratapsi4,1777983540753277420,0,0,0,,2024/4/10 8:54,@taylorswift13 I am Farming    $BLOCK $PARAM $RICY $BEYOND $BUBBLE   $EVERY $COOKIE $GMRX $FYN $MON $XTER $MOJO $LMWR,Twitter Web App,https://www.twitter.com/prabalpratapsi4/status/1777983540753277420
51,,Steve Kyle,SteveKy90239793,https://www.twitter.com/SteveKy90239793,1778038433111323118,0,0,0,,2024/4/10 12:32,@IndiGenBharat @taylorswift13 That's Taylor sw from ohio,Twitter for Android,https://www.twitter.com/SteveKy90239793/status/1778038433111323118
52,,Margaret,Margare61695083,https://www.twitter.com/Margare61695083,1778082249784582555,0,0,0,,2024/4/10 15:26,"@TheGr8Illusion @taylorswift13 You obviously are blind to the destruction Biden has done to this country. It’s so easy for you to blame Trump. He pulled this country out of a hole &amp; inflation, border, crime etc were down. Biden’s gang destroyed major cities &amp; he wants Socialism in the US we WERE free in 2019.",Twitter for iPhone,https://www.twitter.com/Margare61695083/status/1778082249784582555
53,,Margaret,Margare61695083,https://www.twitter.com/Margare61695083,1778083462571852084,0,0,0,,2024/4/10 15:31,"@TheGr8Illusion @taylorswift13 Talk about another Democrat liar. Trump did nothing of what you claim. That has been the Democratic lies. Every single thing Trump has been accused of was done by Democrats!!! Biden’s a pedophile, habitual liar, has drown the US in debt. HE wants the US Socialist killing us all.",Twitter for iPhone,https://www.twitter.com/Margare61695083/status/1778083462571852084
54,,Sheri Weiss,SheriWeiss20,https://www.twitter.com/SheriWeiss20,1778436261394456618,0,0,0,,2024/4/11 14:53,@TheGr8Illusion @taylorswift13 ??,Twitter Web App,https://www.twitter.com/SheriWeiss20/status/1778436261394456618
55,,Jack Nasa,puddnasa,https://www.twitter.com/puddnasa,1778462590928040416,0,0,0,,2024/4/11 16:38,@TheGr8Illusion @taylorswift13 This is ridiculous,Twitter for Android,https://www.twitter.com/puddnasa/status/1778462590928040416
56,,Jack Nasa,puddnasa,https://www.twitter.com/puddnasa,1778462777872396545,0,0,0,,2024/4/11 16:39,@NotmyPr00310890 @TheGr8Illusion @taylorswift13 Why? Biden is supporting your genocide.,Twitter for Android,https://www.twitter.com/puddnasa/status/1778462777872396545
